Item Name,Qty,Price (total) (USD),Item link,Notes
"PCB (Assembly, Shipping)",1,$82.74,https://cart.jlcpcb.com/smt-order/?pcbFileNo=0fc75c9f361441578587309213c43a37,JLC Parts & Assembly
"Keyswitches (Switches, Shipping)",90,$36.00,https://www.amazon.ca/Akko-Keyboard-Mechanical-Switches-Structure/dp/B0CJY7QN11/ref=sr_1_5?crid=29CH5ZOX8IGAJ&dib=eyJ2IjoiMSJ9.FGwKHFKDRsqMa1QOFADPmUqCWwFervhcHa3XLMIAwMjh7TDpUewUxcmJAZJ72TkFesUgCJ6_zHzbUUdDPWDyI3fOEZjuxRiKsB8fD2yOzJj1-lNiQ_F1Pqp1pnPWhXIad6dQD1745dYhwwfcejTbcLZm0qJVo0lyr5Ajt2_30wJef2CZGpj6Tsg1hU4M2mG7mAjjGtfIKX32MdW8mWl8WvbbSVnjL6cJBXB_I4oXTkzc3WpOOcergIG00nIQZqxRFQ-5Ahg5WNr6RMgXnlqIhUT0l-eRLUb4-ugCGp2VAog.x0DNipIwQD42XjbJkE42RHuQT5r76PkKdEbBPOrK_R8&dib_tag=se&keywords=key%2Bswitches%2Bpenguin&qid=1788918600&sprefix=keyswitches%2Bpengiun%2Caps%2C177&sr=8-5&th=1,Mechanical Switches (off amazon)
Keycaps Set (Caps),1,$20.30,https://www.amazon.ca/Versatile-Non-Slip-Mechanical-Ergonomic-Doubleshot/dp/B0FW4DHZVR/ref=sr_1_3_sspa?crid=27M9NOGLEDS7N&dib=eyJ2IjoiMSJ9.ur9_HoY379do6pGGmEKqr-BDzfyW8FTw-xBl3B29ZLOKOfKTw7krJorAcVpeuhbN2tWDEU16dRfGRUGFoNP3q-4jP4Oi_cm3lN0oNIh09-OfZPpvmZCvUPvXHOdXU9mhkaNCLBL30ZdTOg4vS3xNIOMd5CxdYUA4e6wPdG_qWfTcxK-glTprKLppXGCUxL1EgYF_DNkKwo1e5I4yJZewDeO5J3FfCGFIXffgSMvENgcLyVQWpx3dRVhvXS1oYJX0EmmMUMd5bzMZ914S9l5duyD8s2nMa-ljOeioj9cMB2k.fZyrkHxNsIgXACIiBGoUOeXdDoStMLkjoko3_kmi7AE&dib_tag=se&keywords=keycaps&qid=1788919129&sprefix=keycaps%2Caps%2C201&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,Keycaps set (off amazon)
3D Printed Parts,1,$0.00,,I print myself
Raspberry Pi Pico,1,$14.48,https://www.amazon.ca/Freenove-Raspberry-Compatible-Pre-Soldered-Development/dp/B09X33TBY3/ref=sr_1_4?crid=33UOV6CHEL1AB&dib=eyJ2IjoiMSJ9.76msAtqTuSxZXNkCXjySUAZU1CoepgvIdsoLNU0LNpm__-SYFgodHNDPHDnxY5Wn3XxZn2KnVmFzp_NOF2plX_lYCO7dwcpZpZgLnUhh-M2tfuumsxdfNCcba6KLH4ZwhULTqVfEEBBWTEysX110zoUL97WsLuO84RkBQuXHX1PcvVJBl4QxKgctIVD_VV7nYrSyKXnvUk3qdTrvsqkKCZ4NBTG7NkCSCV3-L0b4fwdS9nc6BWPzvZWPsJ_Ilw_-66q9BimpehlHvOXFqe9QvQbVpE-8lmAVSz8hn26rPnw.qK6F0Th5DaDylb4cbfh8qjHLdSXGC7aJNOReOSorF78&dib_tag=se&keywords=raspberry%2Bpi%2Bpico%2Bwith%2Bpre-soldered%2Bheaders&qid=1788919496&sprefix=Raspberry%2BPi%2BPico%2Bwith%2Bsol%2Caps%2C190&sr=8-4&th=1,"Pi Pico board THT, also off Amazon"
,,$153.52,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$307.04,,,
